Date,Open,High,Low,Close,Adj Close,Volume,Revenue,Net Income,EPS,Operating Income,EBITDA ,Current Ratio
2023/4/27,165.190002,168.559998,165.190002,168.410004,167.095551,64902300,94836,24160,1.52,28318,31216,0.94
2023/4/28,168.490005,169.850006,167.880005,169.679993,168.355621,55209200,94836,24160,1.52,28318,31216,0.94
2023/5/1,169.279999,170.449997,168.639999,169.589996,168.266342,52472900,94836,24160,1.52,28318,31216,0.94
2023/5/2,170.089996,170.350006,167.539993,168.539993,167.224518,48425700,94836,24160,1.52,28318,31216,0.94
2023/5/3,169.5,170.919998,167.160004,167.449997,166.143021,65136000,94836,24160,1.52,28318,31216,0.94
2023/5/4,164.889999,167.039993,164.309998,165.789993,164.495987,81235400,94836,24160,1.52,28318,31216,0.94
2023/5/5,170.979996,174.300003,170.759995,173.570007,172.215286,113316400,94836,24160,1.52,28318,31216,0.94
2023/5/8,172.479996,173.850006,172.110001,173.5,172.145798,55962800,94836,24160,1.52,28318,31216,0.94
2023/5/9,173.050003,173.539993,171.600006,171.770004,170.429321,45326900,94836,24160,1.52,28318,31216,0.94
2023/5/10,173.020004,174.029999,171.899994,173.559998,172.205338,53724500,94836,24160,1.52,28318,31216,0.94
2023/5/11,173.850006,174.589996,172.169998,173.75,172.39386,49514700,94836,24160,1.52,28318,31216,0.94
2023/5/12,173.619995,174.059998,171,172.570007,171.459915,45497800,94836,24160,1.52,28318,31216,0.94
2023/5/15,173.160004,173.210007,171.470001,172.070007,170.963135,37266700,94836,24160,1.52,28318,31216,0.94
2023/5/16,171.990005,173.139999,171.800003,172.070007,170.963135,42110300,94836,24160,1.52,28318,31216,0.94
2023/5/17,171.710007,172.929993,170.419998,172.690002,171.579132,57951600,94836,24160,1.52,28318,31216,0.94
2023/5/18,173,175.240005,172.580002,175.050003,173.92395,65496700,94836,24160,1.52,28318,31216,0.94
2023/5/19,176.389999,176.389999,174.940002,175.160004,174.033249,55772400,94836,24160,1.52,28318,31216,0.94
2023/5/22,173.979996,174.710007,173.449997,174.199997,173.079407,43570900,94836,24160,1.52,28318,31216,0.94
2023/5/23,173.130005,173.380005,171.279999,171.559998,170.456406,50747300,94836,24160,1.52,28318,31216,0.94
2023/5/24,171.089996,172.419998,170.520004,171.839996,170.734604,45143500,94836,24160,1.52,28318,31216,0.94
2023/5/25,172.410004,173.899994,171.690002,172.990005,171.877213,56058300,94836,24160,1.52,28318,31216,0.94
2023/5/26,173.320007,175.770004,173.110001,175.429993,174.301483,54835000,94836,24160,1.52,28318,31216,0.94
2023/5/30,176.960007,178.990005,176.570007,177.300003,176.15947,55964400,94836,24160,1.52,28318,31216,0.94
2023/5/31,177.330002,179.350006,176.759995,177.25,176.109787,99625300,94836,24160,1.52,28318,31216,0.94
2023/6/1,177.699997,180.119995,176.929993,180.089996,178.931519,68901800,94836,24160,1.52,28318,31216,0.94
2023/6/2,181.029999,181.779999,179.259995,180.949997,179.78598,61945900,94836,24160,1.52,28318,31216,0.94
2023/6/5,182.630005,184.949997,178.039993,179.580002,178.424789,121946500,94836,24160,1.52,28318,31216,0.94
2023/6/6,179.970001,180.119995,177.429993,179.210007,178.05719,64848400,94836,24160,1.52,28318,31216,0.94
2023/6/7,178.440002,181.210007,177.320007,177.820007,176.676132,61944600,94836,24160,1.52,28318,31216,0.94
2023/6/8,177.899994,180.839996,177.460007,180.570007,179.408463,50214900,94836,24160,1.52,28318,31216,0.94
2023/6/9,181.5,182.229996,180.630005,180.960007,179.795914,48870700,94836,24160,1.52,28318,31216,0.94
2023/6/12,181.270004,183.889999,180.970001,183.789993,182.607712,54274900,94836,24160,1.52,28318,31216,0.94
2023/6/13,182.800003,184.149994,182.440002,183.309998,182.130814,54929100,94836,24160,1.52,28318,31216,0.94
2023/6/14,183.369995,184.389999,182.020004,183.949997,182.766708,57462900,94836,24160,1.52,28318,31216,0.94
2023/6/15,183.960007,186.520004,183.779999,186.009995,184.813446,65433200,94836,24160,1.52,28318,31216,0.94
2023/6/16,186.729996,186.990005,184.270004,184.919998,183.730453,101235600,94836,24160,1.52,28318,31216,0.94
2023/6/20,184.410004,186.100006,184.410004,185.009995,183.819855,49799100,94836,24160,1.52,28318,31216,0.94
2023/6/21,184.899994,185.410004,182.589996,183.960007,182.776642,49515700,94836,24160,1.52,28318,31216,0.94
2023/6/22,183.740005,187.050003,183.669998,187,185.797073,51245300,94836,24160,1.52,28318,31216,0.94
2023/6/23,185.550003,187.559998,185.009995,186.679993,185.479126,53079300,94836,24160,1.52,28318,31216,0.94
2023/6/26,186.830002,188.050003,185.229996,185.270004,184.078201,48088700,94836,24160,1.52,28318,31216,0.94
2023/6/27,185.889999,188.389999,185.669998,188.059998,186.85025,50730800,94836,24160,1.52,28318,31216,0.94
